repo                   category                      status    title                                                       evidence                                                                                    fix                                                                                       
openai-mock-server     workflow_yaml                 fixed     GitHub workflow structure or main workflow execution issue  Updated CI workflows to match go-template canonical: setup-go@v6 + go-version-file, golang  Verified post-merge main Go/lint/security rollout workflows succeeded; unrelated secret sc
refactorio             codex_feedback                fixed     Codex review feedback issue                                 Merged PR #1 with merge commit 3921c65656f779dc932d84cadbeabe2ff3b1ef65 after ggg ready/co  Merged PR #1 with merge commit 3921c65656f779dc932d84cadbeabe2ff3b1ef65 after ggg ready/co
refactorio             general_rollout               fixed     General rollout issue or notable event                      merged with merge commit 3921c65656f779dc932d84cadbeabe2ff3b1ef65                           merged with merge commit 3921c65656f779dc932d84cadbeabe2ff3b1ef65                         
refactorio             glazed_lint                   fixed     Glazed CLI policy or analyzer issue                         Opened PR #1. Pre-existing build failure in cmd/refactor-index (DecodeSectionInto removed   Removed local ../oak replacement by using released oak v0.5.2 and bumped Glazed to v1.3.6;
refactorio             golangci_lint                 observed  golangci-lint/static analysis issue                         Fixed CI errcheck rows.Close findings; CI-version golangci-lint and GOWORK=off go test ./.  Fixed CI errcheck rows.Close findings; CI-version golangci-lint and GOWORK=off go test ./.
refactorio             govulncheck                   observed  Go vulnerability scan issue                                 Upgraded go directive from 1.25.5 to 1.26.3 to fix govulncheck stdlib findings.             Upgraded go directive from 1.25.5 to 1.26.3 to fix govulncheck stdlib findings.           
refactorio             local_validation              fixed     Local validation issue                                      pass: GOWORK=off go test ./pkg/...                                                          pass: GOWORK=off go test ./pkg/... —                                                      
refactorio             logcopter_generation          fixed     Logcopter generation/check issue                            Started B5 logcopter baseline work locally. Build failure in cmd/refactor-index — investig  pass: make logcopter-check —                                                              
refactorio             workflow_yaml                 fixed     GitHub workflow structure or main workflow execution issue  Updated CI workflows to match go-template canonical: setup-go@v6 + go-version-file, golang  Verified post-merge main Go/lint/security rollout workflows succeeded; unrelated secret sc
smailnail              codex_feedback                fixed     Codex review feedback issue                                 Merged PR #4 with merge commit 858202456989816978817009bea599db7700e26b after ggg ready/co  Merged PR #4 with merge commit 858202456989816978817009bea599db7700e26b after ggg ready/co
smailnail              general_rollout               fixed     General rollout issue or notable event                      merged with merge commit 858202456989816978817009bea599db7700e26b                           merged with merge commit 858202456989816978817009bea599db7700e26b                         
smailnail              glazed_lint                   fixed     Glazed CLI policy or analyzer issue                         Added glazed-lint + publish-docs.                                                           Direct main repair for glazed-lint gate: added sqlite tags and scoped legacy allow paths; 
smailnail              golangci_lint                 observed  golangci-lint/static analysis issue                         Verified final smailnail main repair: golang-pipeline, golangci-lint, dependency scanning,  Verified final smailnail main repair: golang-pipeline, golangci-lint, dependency scanning,
smailnail              govulncheck                   fixed     Go vulnerability scan issue                                 Fixed batched PR CI: govulncheck uses patched Go 1.25.10 and publish-image no longer start  Upgraded go-jose v3 to v3.0.5; local govulncheck -tags sqlite_fts5 and go test -tags sqlit
smailnail              local_validation              fixed     Local validation issue                                      pass: make test                                                                             pass: make test — after PR CI fix                                                         
smailnail              logcopter_generation          fixed     Logcopter generation/check issue                            warn: ggg release preflight --repo . --output json — pre-existing release findings: CGO di  pass: make logcopter-check — after PR CI fix                                              
smailnail              release_or_main_verification  fixed     Release or post-merge main verification issue               Correction: earlier preflight pass entry should be interpreted with the subsequent warning  pass: ggg release preflight --repo . --output json —                                      
smailnail              workflow_yaml                 fixed     GitHub workflow structure or main workflow execution issue  Batched PR blocked on Go Vulnerability Check; investigating workflow/toolchain.             P1 pass: repaired malformed push.yml where present and bumped glazed-lint analyzer pin to 
vault-envrc-generator  codex_feedback                fixed     Codex review feedback issue                                 Triggered Codex after rollout/security/lint fixes via ggg pr codex-trigger --wait-for-auto  Merged PR #9 with merge commit a7df61047f4536c726122f0412391a6444328c78 after ggg ready/co
vault-envrc-generator  general_rollout               fixed     General rollout issue or notable event                      merged with merge commit a7df61047f4536c726122f0412391a6444328c78                           merged with merge commit a7df61047f4536c726122f0412391a6444328c78                         
vault-envrc-generator  glazed_lint                   fixed     Glazed CLI policy or analyzer issue                         Added glazed-lint + publish-docs.                                                           Added glazed-lint + publish-docs.                                                         
vault-envrc-generator  govulncheck                   observed  Go vulnerability scan issue                                 Pushed security/lint rollout fix e8102005; local govulncheck/gosec or lint validations pas  Pushed security/lint rollout fix e8102005; local govulncheck/gosec or lint validations pas
vault-envrc-generator  local_validation              fixed     Local validation issue                                      pass: GOWORK=off go test ./...                                                              pass: GOWORK=off go test ./... —                                                          
vault-envrc-generator  logcopter_generation          fixed     Logcopter generation/check issue                            pass: make logcopter-check                                                                  pass: make logcopter-check —                                                              
vault-envrc-generator  workflow_yaml                 fixed     GitHub workflow structure or main workflow execution issue  P1 pass: repaired malformed push.yml where present and bumped glazed-lint analyzer pin to   Verified post-merge main Go/lint/security rollout workflows succeeded; unrelated secret sc
